medication_identifier,medication_name,short_name,medication_pronunciation,medication_color_group,medication_components,primary_medication_category,medication_categories
m-cefuroxime,Cefuroxime,Cefuroxime,sefuroxeme,Miscellaneous White Label,,CEFUROXIME,CEFUROXIME | ANTIBIOTIC | CEPHALOSPORIN | CEF GEN 2 | INTRAVENOUS
m-celecoxib,Celecoxib,Celecoxib,selecoxib,Miscellaneous White Label,,CELECOXIB,CELECOXIB | NSAID
m-chloroprocaine,Chloroprocaine,Chloroprocaine,chloroprocaine,Local Anesthetics,,CHLOROPROCAINE,CHLOROPROCAINE | LOCAL_ANESTHETIC
m-chloroprocaine-pf,Chloroprocaine (PF),Chloroprocaine,chloroprocaine ,Local Anesthetics,,CHLOROPROCAINE,CHLOROPROCAINE | LOCAL_ANESTHETIC
g-chlorpromazine,Chlorpromazine,Chlorpromazine,,,,CHLORPROMAZINE,CHLORPROMAZINE | NOT_ON_MED_LIST
m-chlorpromazine-iv,ChlorproMAZINE IV/IM,ChlorproMAZINE,chlor promazine ,Miscellaneous White Label,,CHLORPROMAZINE,CHLORPROMAZINE | INTRAVENOUS
m-chlorpromazine-oral,ChlorproMAZINE Oral,ChlorproMAZINE,chlor promazine ,Miscellaneous White Label,,CHLORPROMAZINE,CHLORPROMAZINE
m-ciprofloxacin,CIPROfloxacin,CIPROfloxacin,ciprofloxacin,Miscellaneous White Label,,CIPROFLOXACIN,CIPROFLOXACIN | ANTIBIOTIC | INTRAVENOUS | QTC_PROLONGING | FLUOROQUINOLONE
m-cisatracurium,Cisatracurium,Cisatracurium,cisatracurium,Muscle Relaxants,,CISATRACURIUM,CISATRACURIUM | NONDEP_NMB | INTRAVENOUS
m-clindamycin,Clindamycin,Clindamycin,clindamycin,Miscellaneous White Label,,CLINDAMYCIN,CLINDAMYCIN | ANTIBIOTIC | INTRAVENOUS
g-clindamycin-gentamicin,Clindamycin-Gentamicin,Clindamycin-Gentamicin,,,m-clindamycin | m-gentamicin,CLINDAMYCIN_GENTAMICIN,CLINDAMYCIN | ANTIBIOTIC | INTRAVENOUS | GENTAMICIN | NOT_ON_MED_LIST | EXCLUDE_FROM_ANTIBIOTIC_CANDIDATE_EVAL | AMINOGLYCOSIDE
g-clonidine,CloNIDine,CloNIDine,,,,CLONIDINE,CLONIDINE
m-clonidine-epidural,CloNIDine Epidural/Nerve Bock,CloNIDine,clonidine ,Hypotensive Agents,,CLONIDINE,CLONIDINE
m-clonidine-oral,CloNIDine Oral,CloNIDine,clonidine ,Hypotensive Agents,,CLONIDINE,CLONIDINE
m-clonidine-transdermal-0.1,CloNIDine Transdermal 0.1 mg/day,CloNIDine,clonidine ,Hypotensive Agents,,CLONIDINE,CLONIDINE
m-clonidine-transdermal-0.2,CloNIDine Transdermal 0.2 mg/day,CloNIDine,clonidine ,Hypotensive Agents,,CLONIDINE,CLONIDINE
m-clonidine-transdermal-0.3,CloNIDine Transdermal 0.3 mg/day,CloNIDine,clonidine ,Hypotensive Agents,,CLONIDINE,CLONIDINE
g-clonidine-epinephrine-ketorolac-ropivacaine,Clonidine-EPINEPHrine-Ketorolac-Ropivacaine,Clonidine-EPINEPHrine-Ketorolac-Ropivacaine,,,g-clonidine | m-ketorolac | g-ropivacaine,CLONIDINE_EPINEPHRINE_KETOROLAC_ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC | KETOROLAC | CLONIDINE | EPINEPHRINE | NOT_ON_MED_LIST | ROPIVACAINE_EPINEPHRINE | NARCOTIC | NSAID
g-epinephrine-clonidine-ropivacaine,Clonidine-EPINEPHrine-Ropivacaine,Clonidine-EPINEPHrine-Ropivacaine,,,g-clonidine | g-ropivacaine,EPINEPHRINE_CLONIDINE_ROPIVACAINE,ROPIVACAINE | LOCAL_ANESTHETIC  | CLONIDINE | EPINEPHRINE | NOT_ON_MED_LIST | ROPIVACAINE_EPINEPHRINE | NARCOTIC
m-dantrolene,Dantrolene,Dantrolene,dantrolene,Miscellaneous White Label,,DANTROLENE,DANTROLENE | INTRAVENOUS
m-daptomycin-iv,DAPTOmycin,DAPTOmycin,daptomycin ,Miscellaneous White Label,,DAPTOMYCIN,DAPTOMYCIN | ANTIBIOTIC | INTRAVENOUS
m-desmopressin-iv,Desmopressin,Desmopressin,desmopressin ,Miscellaneous White Label,,DESMOPRESSIN,DESMOPRESSIN | INTRAVENOUS
m-desmopressin-nasal,Desmopressin Nasal,Desmopressin,desmopressin ,Miscellaneous White Label,,DESMOPRESSIN,DESMOPRESSIN
m-desmopressin-oral,Desmopressin Oral,Desmopressin,desmopressin ,Miscellaneous White Label,,DESMOPRESSIN,DESMOPRESSIN
m-dexamethasone,Dexamethasone,Dexamethasone,dexamethasone,Miscellaneous White Label,,DEXAMETHASONE,DEXAMETHASONE | INTRAVENOUS | ANTIEMETIC | ANTIEMETIC_STEROID
g-dexamethasone-lidocaine,Dexamethasone-Lidocaine,Dexamethasone-Lidocaine,,,m-dexamethasone | g-lidocaine,DEXAMETHASONE_LIDOCAINE,LIDOCAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST | DEXAMETHASONE
m-dexmedetomidine,DexMEDEtomidine,DexMEDEtomidine,dexmedah tomidine,Induction Agents,,DEXMEDETOMIDINE,DEXMEDETOMIDINE| INTRAVENOUS | INDUCTION_AGENT
m-dextran-40,Dextran 40,Dextran 40,dextran 40,Miscellaneous White Label,,DEXTRAN_40,DEXTRAN_40 | INTRAVENOUS
m-dextrose,DextROse,DextROse,dextrose,Miscellaneous White Label,,DEXTROSE,DEXTROSE | INTRAVENOUS
m-diazepam-iv,DiazePAM IV,DiazePAM,diazepam ,Tranquilizers,,DIAZEPAM,DIAZEPAM | INTRAVENOUS
m-diazepam-oral,DiazePAM Oral,DiazePAM,diazepam ,Tranquilizers,,DIAZEPAM,DIAZEPAM
m-diazepam-rectal,DiazePAM Rectal,DiazePAM,diazepam ,Tranquilizers,,DIAZEPAM,DIAZEPAM
m-digoxin,Digoxin,Digoxin,dijoxin,Miscellaneous White Label,,DIGOXIN,DIGOXIN | INTRAVENOUS
m-digoxin-immune-fab,Digoxin Immune Fab,Digoxin Immune Fab,dijoxinmune fab,Miscellaneous White Label,,DIGOXIN,DIGOXIN | INTRAVENOUS
m-diltiazem,DilTIAZem,DilTIAZem,diltiazem,Hypotensive Agents,,DILTIAZEM,DILTIAZEM | INTRAVENOUS
m-diphenhydramine,DiphenhydrAMINE,DiphenhydrAMINE,diphenhydramine,Miscellaneous White Label,,DIPHENYDRAMINE,DIPHENHYDRAMINE | INTRAVENOUS
m-doxycycline,Doxycycline,Doxycycline,doxycycline,Miscellaneous White Label,,DOXYCYCLINE,DOXYCYCLINE | ANTIBIOTIC | INTRAVENOUS
m-droperidol,Droperidol,Droperidol,droperidol,Tranquilizers,,DROPERIDOL,DROPERIDOL | INTRAVENOUS | QTC_PROLONGING
g-droperidol,Droperidol,Droperidol,,,,DROPERIDOL,DROPERIDOL | INTRAVENOUS | NOT_ON_MED_LIST | QTC_PROLONGING
m-dulaglutide,Dulaglutide,Dulaglutide,,,,DULAGLUTIDE,NOT_ON_MED_LIST | ANTIHYPERGLYCEMIC
m-edrophonium,Edrophonium,Edrophonium,edrophonium,Relaxant Antagonists,,EDROPHONIUM,EDROPHONIUM | INTRAVENOUS | NOT_ON_MED_LIST
m-enalapril-oral,Enalapril,Enalapril,enalapril ,Hypotensive Agents,,ENALAPRIL,ENALAPRIL | ANTIHYPERTENSIVE
m-enalaprilat,Enalaprilat,Enalaprilat,enalaprilat,Hypotensive Agents,,ENALAPRILAT,ENALAPRILAT | INTRAVENOUS | ANTIHYPERTENSIVE
m-ephedrine,EPHEDrine,EPHEDrine,ephedrine,Vasopressors,,EPHEDRINE,EPHEDRINE | INTRAVENOUS | VASOPRESSOR | ANTIEMETIC | ANTIEMETIC_SYMPATHOMIMETIC | NOT_ON_MED_LIST
m-ephedrine-iv,EPHEDrine IV,EPHEDrine,ephedrine,Vasopressors,,EPHEDRINE,EPHEDRINE | INTRAVENOUS | VASOPRESSOR | ANTIEMETIC | ANTIEMETIC_SYMPATHOMIMETIC
m-ephedrine-im,EPHEDrine IM,EPHEDrine,ephedrine,Vasopressors,,EPHEDRINE,EPHEDRINE | VASOPRESSOR | ANTIEMETIC | ANTIEMETIC_SYMPATHOMIMETIC
m-ephedrine-50,EPHEDrine,EPHEDrine,ephedrine,Vasopressors,,EPHEDRINE,EPHEDRINE | VASOPRESSOR | ANTIEMETIC | ANTIEMETIC_SYMPATHOMIMETIC | NOT_ON_MED_LIST
m-epinephrine,EPINEPHrine,EPINEPHrine,epinephrine,Epinephrine,,EPINEPHRINE,EPINEPHRINE | INTRAVENOUS | VASOPRESSOR
m-ertapenem,Ertapenem,Ertapenem,ertapenem,Miscellaneous White Label,,ERTAPENEM,ERTAPENEM | ANTIBIOTIC | CARBAPENEM | INTRAVENOUS
m-esmolol,Esmolol,Esmolol,esmolol,Beta Blocker,,ESMOLOL,ESMOLOL | INTRAVENOUS | ANTIHYPERTENSIVE
m-esomeprazole,Esomeprazole,Esomeprazole,esomeprazole,Miscellaneous White Label,,ESOMEPRAZOLE,ESOMEPRAZOLE | OMEPRAZOLE | NOT_ON_MED_LIST
m-etomidate,Etomidate,Etomidate,etomidate,Induction Agents,,ETOMIDATE,ETOMIDATE | INTRAVENOUS | INDUCTION_AGENT
g-famotidine,Famotidine,Famotidine,,,,FAMOTIDINE,FAMOTIDINE | NOT_ON_MED_LIST
m-famotidine-pf-iv,Famotidine IV (PF),Famotidine,famotidene,Miscellaneous White Label,,FAMOTIDINE,FAMOTIDINE | INTRAVENOUS
m-famotidine-oral,Famotidine Oral,Famotidine,famotidene,Miscellaneous White Label,,FAMOTIDINE,FAMOTIDINE
m-intralipid,Intralipid,Intralipid,Intralipid,Miscellaneous White Label,,INTRALIPID,INTRALIPID | INTRAVENOUS
g-fenoldopam,Fenoldopam,Fenoldopam,,,,FENOLDOPAM,NOT_ON_MED_LIST | ANTIHYPERTENSIVE
m-fentanyl,FentaNYL,FentaNYL,fentanyl,Narcotics,,FENTANYL,FENTANYL | NARCOTIC | INTRAVENOUS
g-fentanyl-bupivacaine,Fentanyl-Bupivacaine,FentaNYL-Bupivacaine,,,m-fentanyl | g-bupivacaine,FENTANYL_BUPIVACAINE,FENTANYL | NARCOTIC | BUPIVACAINE | LOCAL_ANESTHETIC| NOT_ON_MED_LIST
m-fentanyl-bupivacaine,Fentanyl-Bupivacaine,FentaNYL-Bupivacaine,fentanyl bupivacaine,HYDROmorphone-Bupivacaine,m-fentanyl | g-bupivacaine,FENTANYL_BUPIVACAINE,FENTANYL | NARCOTIC | BUPIVACAINE | LOCAL_ANESTHETIC
m-fluconazole,Fluconazole,Fluconazole,fluconazole,Miscellaneous White Label,,FLUCONAZOLE,FLUCONAZOLE | INTRAVENOUS | QTC_PROLONGING
m-flumazenil,Flumazenil,Flumazenil,flumazenil,Benzodiazepine antagonist ,,FLUMAZENIL,FLUMAZENIL | INTRAVENOUS
m-fluorescein,Fluorescein,Fluorescein,fluoresceen,Miscellaneous White Label,,FLUORESCEIN,FLUORESCEIN | INTRAVENOUS
m-fosphenytoin,Fosphenytoin,Fosphenytoin,fosphenytoin,Miscellaneous White Label,,FOSPHENYTOIN,FOSPHENYTOIN | INTRAVENOUS
m-furosemide-iv,Furosemide IV,Furosemide,fur ohsemide ,Miscellaneous White Label,,FUROSEMIDE,FUROSEMIDE | INTRAVENOUS
m-furosemide-oral,Furosemide Oral,Furosemide,fur ohsemide ,Miscellaneous White Label,,FUROSEMIDE,FUROSEMIDE
m-gabapentin,Gabapentin,Gabapentin,gabapentin,Miscellaneous White Label,,GABAPENTIN,GABAPENTIN
m-ganciclovir,Ganciclovir,Ganciclovir,ganciclovir,Miscellaneous White Label,,GANCICLOVIR,GANCICLOVIR | INTRAVENOUS
m-gentamicin,Gentamicin,Gentamicin,gentamicin,Miscellaneous White Label,,GENTAMICIN,GENTAMICIN | ANTIBIOTIC | INTRAVENOUS | AMINOGLYCOSIDE
m-glucagon,Glucagon,Glucagon,glucagon,Miscellaneous White Label,,GLUCAGON,GLUCAGON | INTRAVENOUS
m-glycopyrrolate,Glycopyrrolate,Glycopyrrolate,glycoe pie rolate,Anticholinergic Agents,,GLYCOPYRROLATE,GLYCOPYRROLATE | INTRAVENOUS
m-haloperidol,Haloperidol IV,Haloperidol,haloperidol,Tranquilizers,,HALOPERIDOL,HALOPERIDOL | INTRAVENOUS | ANTIEMETIC | ANTIEMETIC_ANTIDOPAMINERGIC | QTC_PROLONGING
m-haloperidol-im,Haloperidol IM,Haloperidol,haloperidol,Tranquilizers,,HALOPERIDOL,HALOPERIDOL | ANTIEMETIC | ANTIEMETIC_ANTIDOPAMINERGIC | QTC_PROLONGING
m-heparin,Heparin,Heparin,heparin,Anticoagulant,,HEPARIN,HEPARIN | INTRAVENOUS
m-heparin-pf,Heparin (PF),Heparin,heparin,Anticoagulant,,HEPARIN,HEPARIN | INTRAVENOUS
m-hydralazine-iv,HydrALAZINE IV,HydrALAZINE,hydralazine ,Hypotensive Agents,,HYDRALAZINE,HYDRALAZINE | INTRAVENOUS | ANTIHYPERTENSIVE
m-hydralazine-oral,HydrALAZINE Oral,HydrALAZINE,hydralazine ,Hypotensive Agents,,HYDRALAZINE,HYDRALAZINE
m-hydrocortisone-iv,Hydrocortisone IV/IM,Hydrocortisone,hydrocortisone ,Miscellaneous White Label,,HYDROCORTISONE,HYDROCORTISONE | INTRAVENOUS
m-hydrocortisone-oral,Hydrocortisone Oral,Hydrocortisone,hydrocortisone ,Miscellaneous White Label,,HYDROCORTISONE,HYDROCORTISONE
g-hydromorphone,HYDROmorphone,HYDROmorphone,,,,HYDROMORPHONE,NOT_ON_MED_LIST | HYDROMORPHONE | INTRAVENOUS | NARCOTIC
m-hydromorphone-iv,HYDROmorphone Vial (non-PF),HYDROmorphone,hydromorphone  ,Narcotics,,HYDROMORPHONE,HYDROMORPHONE | INTRAVENOUS | NARCOTIC
m-hydromorphone-pf-iv,HYDROmorphone IV (PF) ,HYDROmorphone,hydromorphone ,Narcotics,,HYDROMORPHONE,HYDROMORPHONE | INTRAVENOUS | NARCOTIC
m-hydromorphone-oral,HYDROmorphone Oral,HYDROmorphone,hydromorphone,Narcotics,,HYDROMORPHONE,HYDROMORPHONE | NARCOTIC
m-hydromorphone-rectal,HYDROmorphone Rectal,HYDROmorphone,hydromorphone,Narcotics,,HYDROMORPHONE,HYDROMORPHONE | NARCOTIC
g-hydromorphone-bupivacaine,Hydromorphone - Bupivacaine,Hydromorphone-Bupivacaine,,,g-hydromorphone | g-bupivacaine,HYDROMORPHONE_BUPIVACAINE,HYDROMORPHONE | NARCOTIC | BUPIVACAINE | LOCAL_ANESTHETIC | NOT_ON_MED_LIST
m-hydromorphone-bupivacaine-pf-epidural,HYDROmorphone-Bupivacaine (PF) Epidural,HYDROmorphone-Bupivacaine,hydromorphone bupivacaine  ,HYDROmorphone-Bupivacaine,g-hydromorphone | g-bupivacaine,HYDROMORPHONE_BUPIVACAINE,HYDROMORPHONE | BUPIVACAINE | LOCAL_ANESTHETIC | NARCOTIC
m-hydromorphone-bupivacaine-pf-intrathecal,HYDROmorphone-Bupivacaine (PF) Intrathecal,HYDROmorphone-Bupivacaine,hydromorphone bupivacaine  ,HYDROmorphone-Bupivacaine,g-hydromorphone | g-bupivacaine,HYDROMORPHONE_BUPIVACAINE,HYDROMORPHONE | BUPIVACAINE | LOCAL_ANESTHETIC | NARCOTIC
g-hydromorphone-bupivacaine-clonidine,Hydromorphone - Bupivacaine - Clonidine,Hydromorphone-Bupivacaine-Clonidine,,,g-hydromorphone | g-bupivacaine | g-clonidine,HYDROMORPHONE_BUPIVACAINE_CLONIDINE,HYDROMORPHONE | NARCOTIC | BUPIVACAINE | LOCAL_ANESTHETIC | CLONIDINE | NOT_ON_MED_LIST
m-hydromorphone-clonidine-pf,HYDROmorphone-Clonidine (PF),HYDROmorphone-Clonidine,hydromorphone-clonidine ,HYDROmorphone-Clonidine,g-hydromorphone | g-clonidine,HYDROMORPHONE_CLONIDINE,HYDROMORPHONE | NARCOTIC | CLONIDINE
m-imipenem-cilastatin,Imipenem-Cilastatin,Imipenem-Cilastatin,imipenem-sillahstatin,Miscellaneous White Label,,IMIPENEM_CILASTATIN,IMIPENEM_CILASTATIN | ANTIBIOTIC | INTRAVENOUS | CARBAPENEM
m-imipenem-cilastatin-relebactam,Imipenem-Cilastatin-Relebactam,Imipenem-Cilastatin-Relebactam,imipenem sillahstatin relebactam,Miscellaneous White Label,,IMIPENEM_CILASTATIN_RELEBACTAM,IMIPENEM_CILASTATIN_RELEBACTAM | ANTIBIOTIC | INTRAVENOUS | CARBAPENEM
