Procedure,Risk,Acuity,Pathway
p-ent-major-flap | p-ent-cancer | p-ent-clean-contaminated-other | p-mastoidectomy | p-septoplasty | p-transmastoid-antrotomy | p-excision-salivary-gland-tumor | p-palatoplasty | p-cleft-lip-palate-repair | p-rib-cartilage-graft | p-rhinoplasty | p-nasal-vestibular-stenosis-repair | p-laryngotracheoplasty | p-tonsillectomy | p-laryngeal-shaver | p-supraglottoplasty | p-maxillectomy | p-glossectomy | p-laryngectomy | p-mandibulectomy | p-rhinotomy | p-genioplasty | p-sagittal-split | p-leforte | p-choanal-atresia-repair | p-endoscopic-sinus,,,AMPICILLIN_SULBACTAM -> LEVOFLOXACIN AND CLINDAMYCIN
p-biliary-open-other | p-biliary-laparoscopic-other | p-biliary-robotic-other | p-gi-laparoscopic-other | p-gi-robotic-other | p-gastroduodenal-entry-lumen-other | p-ercp | p-gastric-carcinoma | p-gastrojejunostomy-endoscopic | p-gastroduodenal-no-entry-lumen-other | p-highly-selective-vagotomy | p-liver-biopsy | p-pancreatic-cyst | p-pancreatic-ultrasound-intraoperative | p-small-intestine | p-eus-fna-solid-lesion-gi-tract | p-eus-fna-cystic-lesion-mediastinal-pancreatic | p-poem | p-necrosectomy | p-endoscopic-cirrhosis-variceal-bleed | p-shock-wave-lithotripsy-pancreatic | p-duodenectomy | p-spleen-laparoscopic | p-spleen-robotic | p-biliary-stent-placement,,,CEFAZOLIN -> CIPROFLOXACIN
p-peg | p-nissen | p-hernia-repair | p-gastrostomy-tube-primary-placement | p-gastrostomy-tube-changes | p-gastrostomy-tube-repositions | p-gastrostomy-tube-removal,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-duodenal-ulcer | p-exploratory-laparotomy | p-exploratory-laparoscopy,,,CEFAZOLIN
p-duodenal-ulcer | p-exploratory-laparotomy | p-exploratory-laparoscopy,,,CEFAZOLIN AND METRONIDAZOLE -> (CIPROFLOXACIN AND METRONIDAZOLE) OR (CIPROFLOXACIN AND CLINDAMYCIN)
p-cholecystectomy,,,CEFAZOLIN -> (CIPROFLOXACIN AND METRONIDAZOLE) OR (CIPROFLOXACIN AND CLINDAMYCIN)
p-liver-resection,,,CEFAZOLIN AND METRONIDAZOLE -> (LEVOFLOXACIN AND METRONIDAZOLE) OR (LEVOFLOXACIN AND CLINDAMYCIN)
p-appendectomy,,,CEFTRIAXONE AND METRONIDAZOLE -> CIPROFLOXACIN AND METRONIDAZOLE
p-dilation-and-evacuation-nonpregnancy | p-dilation-and-evacuation-abortion | p-dilation-and-evacuation-postpartum | p-dilation-and-evacuation-other,,,DOXYCYCLINE
p-ovarian-cystectomy-laparoscopic | p-ovarian-cystectomy-robotic | p-oophorectomy-laparoscopic | p-oophorectomy-robotic | p-oophorectomy-endoscopic | p-salpingo-oophorectomy-laparoscopic | p-salpingo-oophorectomy-robotic | p-salpingo-oophorectomy-endoscopic | p-ectopic-pregnancy-laparoscopic | p-ectopic-pregnancy-robotic | p-ovarian-torsion-laparoscopic | p-ovarian-torsion-robotic | p-gyn-ablation-lesion-genitalia,,,None
p-ovarian-cystectomy-laparoscopic | p-ovarian-cystectomy-robotic | p-oophorectomy-laparoscopic | p-oophorectomy-robotic | p-oophorectomy-endoscopic | p-salpingo-oophorectomy-laparoscopic | p-salpingo-oophorectomy-robotic | p-salpingo-oophorectomy-endoscopic | p-ectopic-pregnancy-laparoscopic | p-ectopic-pregnancy-robotic | p-ovarian-torsion-laparoscopic | p-ovarian-torsion-robotic | p-gyn-ablation-lesion-genitalia,,,CEFAZOLIN -> CIPROFLOXACIN
p-ovarian-cystectomy-open | p-salpingectomy-open | p-oophorectomy-open | p-salpingo-oophorectomy-open | p-endometriosis-open | p-ectopic-pregnancy-open | p-ovarian-torsion-open | p-colporrhaphy | p-urethral-sling-female | p-tubal-ligation-open,,,CEFAZOLIN -> CIPROFLOXACIN AND VANCOMYCIN
p-myomectomy-open | p-myomectomy-laparoscopic | p-myomectomy-robotic | p-pelvic-floor-repair-open | p-pelvic-floor-repair-laparoscopic | p-pelvic-floor-repair-robotic | p-pelvic-floor-repair-endoscopic | p-urogynecologic-with-cystoscopy-other | p-urogynecologic-no-cystoscopy-other | p-gynecologic-laparoscopic-other | p-gynecologic-open-other | p-vulvectomy | p-vesicovaginal-fistula | p-rectovaginal-fistula | p-hysterectomy-open,,,CEFAZOLIN -> CIPROFLOXACIN AND VANCOMYCIN
p-myomectomy-open | p-myomectomy-laparoscopic | p-myomectomy-robotic | p-pelvic-floor-repair-open | p-pelvic-floor-repair-laparoscopic | p-pelvic-floor-repair-robotic | p-pelvic-floor-repair-endoscopic | p-urogynecologic-with-cystoscopy-other | p-urogynecologic-no-cystoscopy-other | p-gynecologic-laparoscopic-other | p-gynecologic-open-other | p-vulvectomy | p-vesicovaginal-fistula | p-rectovaginal-fistula,,,CEFAZOLIN AND METRONIDAZOLE -> CIPROFLOXACIN AND VANCOMYCIN AND METRONIDAZOLE
p-hysterectomy-open | p-hysterectomy-laparoscopic | p-hysterectomy-robotic | p-hysterectomy-endoscopic,,,CEFAZOLIN AND METRONIDAZOLE -> CIPROFLOXACIN AND VANCOMYCIN AND METRONIDAZOLE
p-living-liver-donor,,,CEFAZOLIN -> LEVOFLOXACIN
p-craniotomy | p-craniectomy | p-cranioplasty | p-cerebrospinal-fluid-shunting | p-transsphenoidal-surgery | p-neurosurgery-other,,,CEFAZOLIN -> VANCOMYCIN OR DAPTOMYCIN
p-spine-procedure-other | p-spinal-fusion | p-laminectomy,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-vertebroplasty | p-sacroplasty | p-kyphoplasty,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-neuroendovascular-other,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-repair-ruptured-globe,,,CEFAZOLIN -> VANCOMYCIN
p-hilp,,,CEFAZOLIN -> VANCOMYCIN
p-hipec | p-hithoc,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-omfs-clean-other | p-arthroscopy-temporomandibular-joint | p-arthroplasty-temporomandibular-joint,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-tooth-extraction | p-dental-implant | p-omfs-clean-contaminated-other | p-intraoral-bone-graft | p-orthognathic-surgery,,,AMPICILLIN_SULBACTAM -> LEVOFLOXACIN AND CLINDAMYCIN
p-ortho-hand-no-implant-other | p-ortho-ankle-no-implant-other | p-ortho-elbow-no-implant-other | p-ortho-finger-no-implant-other | p-ortho-foot-no-implant-other | p-ortho-hip-no-implant-other | p-ortho-knee-no-implant-other | p-ortho-shoulder-no-implant-other | p-ortho-wrist-no-implant-other | p-arthrodesis-hand | p-arthrodesis-ankle | p-arthrodesis-elbow | p-arthrodesis-finger | p-arthrodesis-foot | p-arthrodesis-hip | p-arthrodesis-knee | p-arthrodesis-shoulder | p-arthrodesis-wrist | p-arthrotomy-hand | p-arthrotomy-ankle | p-arthrotomy-elbow | p-arthrotomy-finger | p-arthrotomy-foot | p-arthrotomy-hip | p-arthrotomy-knee | p-arthrotomy-shoulder | p-arthrotomy-wrist | p-hip-fracture-repair | p-implantation-of-internal-fixation-devices | p-hardware-removal | p-foot-reconstruction | p-arthroplasty-ankle | p-arthroplasty-elbow | p-arthroplasty-finger | p-arthroplasty-foot | p-arthroplasty-hip | p-arthroplasty-knee | p-arthroplasty-shoulder | p-arthroplasty-wrist | p-arthroscopy-ankle | p-arthroscopy-elbow | p-arthoscopy-finger | p-arthroscopy-foot | p-arthroscopy-hip | p-arthroscopy-knee | p-arthroscopy-shoulder | p-arthroscopy-wrist | p-amputation | p-arthroscopy-subtalar-joint | p-bursectomy | p-carpal-tunnel-open | p-carpal-tunnel-endoscopic | p-closed-reduction | p-percutaneous-fixation | p-implantation-of-external-fixation-devices,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-percutaneous-spinal-cord-stimulator | p-paddle-lead-implantation | p-interventional-pain-other | p-implantation-intrathecal-pump,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-plastics-other | p-blepharoplasty | p-breast-reconstruction | p-mammoplasty-reduction | p-mastopexy | p-breast-capsulectomy | p-breast-capsulotomy | p-breast-contouring | p-breast-implant-repositioning | p-breast-implant-removal | p-breast-evacuation-hematoma | p-mammoplasty-augmentation | p-non-urethral-lengthening phalloplasty-stage-one | p-facelift,,,CEFAZOLIN -> VANCOMYCIN
p-thoracentesis | p-pleural-catheter-placement | p-pleurodesis | p-pleural-biopsy,,,CEFAZOLIN -> VANCOMYCIN -> LINEZOLID OR DAPTOMYCIN
p-thoracotomy | p-thoracic-no-esophageal-involvement-other | p-thoracic-esophageal-involvement-other | p-esophagectomy | p-thoracostomy,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN OR LINEZOLID
p-tracheostomy | p-diaphragmatic-hernia | p-chest-wall-resection-reconstruction,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-lobectomy | p-pneumonectomy | p-lung-resection | p-video-assisted-thoracoscopic-surgery,,,CEFAZOLIN -> VANCOMYCIN -> LINEZOLID
p-peritoneal-dialysis-catheter-insertion,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-av-fistula,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-vascular-groin-other | p-vascular-no-groin | p-embolectomy-renal | p-embolectomy-arm | p-embolectomy-retina | p-embolectomy-spinal | p-embolectomy-upper-extremity | p-embolectomy-thoracic-vessels | p-embolectomy-femoral | p-embolectomy-foot | p-embolectomy-leg | p-embolectomy-abdominal | p-vascular-bypass-renal-vein | p-vascular-bypass-retina-vein | p-vascular-bypass-spinal-vein | p-vascular-bypass-upper-extremity-vein | p-vascular-bypass-femoral-vein | p-vascular-bypass-thoracic-vessels-vein | p-vascular-bypass-abdominal-vein | p-vascular-bypass-renal-prosthetic-graft | p-vascular-bypass-retina-graft | p-vascular-bypass-spinal-graft | p-vascular-bypass-upper-extremity-graft | p-vascular-bypass-femoral-graft | p-vascular-bypass-thoracic-vessels-graft | p-vascular-bypass-abdominal-graft | p-ivc-filter | p-angioplasty-cerebral | p-angioplasty-renal | p-angioplasty-arm | p-angioplasty-retina | p-angioplasty-spinal | p-angioplasty-upper-extremity | p-angioplasty-thoracic-vessels | p-angioplasty-femoral | p-angioplasty-foot | p-angioplasty-carotid | p-angioplasty-abdominal | p-angioplasty-leg | p-venous-ablation | p-venoplasty-upper-extremity | p-venoplasty-thoracic-vessels | p-venoplasty-abdominal | p-endarterectomy-abdominal | p-endarterectomy-carotid | p-endarterectomy-thoracic-vessels | p-endarterectomy-subclavian | p-endarterectomy-femoral | p-resection-aneurysm-no-groin | p-endarterectomy-popliteal | p-resection-aneurysm-groin | p-endovascular-aneurysm-repair-abdominal | p-endovascular-aneurysm-repair-thoracic | p-av-graft-lower-extremity | p-av-graft-upper-extremity | p-hemodialysis-catheter-insertion | p-placement-central-venous-catheter,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-cystoscopy | p-urology-lower-tract-instrumentation-other | p-urology-endoscopic-other | p-cystourethroscopy | p-photoselective-vaporization-prostate | p-ureteroscopy | p-turp | p-turbt | p-cystometric-bladder-filling,,,SULFAMETHOXAZOLE_TRIMETHOPRIM_PO -> CEFAZOLIN
p-prostate-biopsy-transperineal | p-urology-clean-without-entry-urinary-tract-other | p-prostate-brachytherapy | p-prostate-cryotherapy | p-adrenalectomy | p-urology-lymphadenectomy,,,CEFAZOLIN -> VANCOMYCIN
p-prostate-biopsy-transrectal | p-prostate-biopsy,,,CEFAZOLIN AND GENTAMICIN -> GENTAMICIN
p-percutaneous-nephrolithotomy,,,CEFAZOLIN AND GENTAMICIN -> GENTAMICIN AND VANCOMYCIN
p-clean-with-entry-into-urinary-tract | p-prostatectomy | p-cystectomy | p-nephrectomy-native | p-ureterectomy | p-pyeloplasty | p-cystectomy-small-bowel-conduit | p-partial-cystectomy | p-cystectomy-other | p-urethroplasty | p-scrotal-surgery | p-urethrectomy | p-bladder-augmentation | p-ureterolysis-laparoscopic | p-ureterolysis-open | p-ureteroplasty | p-nephrectomy-post-transplant,,,CEFAZOLIN -> GENTAMICIN AND VANCOMYCIN
p-cystectomy-colon-conduit,,,CEFAZOLIN AND METRONIDAZOLE -> (CIPROFLOXACIN AND METRONIDAZOLE) OR (CIPROFLOXACIN AND CLINDAMYCIN)
p-urology-implanted-prosthesis | p-artificial-genitourinary-sphincter,,,CEFEPIME AND VANCOMYCIN -> GENTAMICIN AND VANCOMYCIN
p-urology-vaginal-surgery-other | p-urethral-diverticulectomy | p-urethral-sling-male,,,CEFAZOLIN -> CIPROFLOXACIN AND VANCOMYCIN
p-face-transplant,,,CEFEPIME AND METRONIDAZOLE AND VANCOMYCIN -> CIPROFLOXACIN AND METRONIDAZOLE AND VANCOMYCIN
p-hand-transplant,,,CEFAZOLIN AND VANCOMYCIN -> VANCOMYCIN -> DAPTOMYCIN
p-heart-transplant,,,CEFAZOLIN -> AZTREONAM AND VANCOMYCIN
p-kidney-transplant,,,CEFAZOLIN -> VANCOMYCIN -> DAPTOMYCIN
p-pancreas-kidney-transplant | p-pancreas-transplant,,,PIPERACILLIN_TAZOBACTAM -> (CEFTRIAXONE AND METRONIDAZOLE) OR (AZTREONAM AND VANCOMYCIN)
p-nephrectomy-donor,,,CEFAZOLIN -> VANCOMYCIN
p-larynx-transplant,,,CEFEPIME AND METRONIDAZOLE AND VANCOMYCIN -> LEVOFLOXACIN AND METRONIDAZOLE AND VANCOMYCIN
p-heart-lung-transplant | p-lung-transplant,,,CEFEPIME AND VANCOMYCIN AND MICAFUNGIN -> (LEVOFLOXACIN AND VANCOMYCIN AND MICAFUNGIN) OR (AZTREONAM AND VANCOMYCIN AND MICAFUNGIN)
p-liver-transplant,,,CEFTRIAXONE -> AZTREONAM AND VANCOMYCIN
p-pancreatectomy,low,,CEFAZOLIN AND METRONIDAZOLE -> LEVOFLOXACIN AND METRONIDAZOLE
p-pancreatectomy,high,,CEFTRIAXONE AND METRONIDAZOLE -> LEVOFLOXACIN AND METRONIDAZOLE
p-cesarean-delivery,,elective,CEFAZOLIN -> CLINDAMYCIN AND GENTAMICIN
p-cesarean-delivery,,urgent | emergent,CEFAZOLIN AND AZITHROMYCIN -> CLINDAMYCIN AND GENTAMICIN AND AZITHROMYCIN
