Procedure,Risk,Acuity,Pathway
p-gastro-uncomplicated,,,None
p-ercp,,,PIPERACILLIN_TAZOBACTAM -> VANCOMYCIN AND CIPROFLOXACIN AND METRONIDAZOLE -> VANCOMYCIN AND LEVOFLOXACIN AND METRONIDAZOLE
p-gastrostomy-tube-primary-placement,,,CEFAZOLIN -> VANCOMYCIN
p-gastrostomy-tube-changes,,,None
p-gastrostomy-tube-repositions,,,None
p-eus-fna-solid-lesion-gi-tract,,,None
p-eus-fna-cystic-lesion,,,CEFTRIAXONE -> CIPROFLOXACIN
p-endoscopic-cirrhosis-variceal-bleed,,,None
p-ent-no-flap-reconstruction-clean,,,None
p-ent-major-flap-reconstruction,,,CEFAZOLIN -> VANCOMYCIN OR CLINDAMYCIN
p-ent-major-flap-reconstruction,,,(CEFAZOLIN AND METRONIDAZOLE) OR AMPICILLIN_SULBACTAM OR PIPERACILLIN_TAZOBACTAM -> (METRONIDAZOLE AND LEVOFLOXACIN AND VANCOMYCIN) OR (CLINDAMYCIN AND LEVOFLOXACIN)
p-ent-clean-placement-of-prosthesis,,,CEFAZOLIN OR CEFUROXIME -> CLINDAMYCIN
p-ent,,,(CEFAZOLIN AND METRONIDAZOLE) OR (CEFUROXIME AND METRONIDAZOLE) OR AMPICILLIN_SULBACTAM -> CLINDAMYCIN
p-elective-cerebrospinal-fluid-shunting,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-elective-craniotomy,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-implantation-intrathecal-pumps,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-ir-urinary-nephrostomy-primary-placement,,,CEFTRIAXONE -> VANCOMYCIN AND AZTREONAM
p-ir-urinary-subrapubic-primary-placement,,,CEFTRIAXONE -> VANCOMYCIN AND AZTREONAM
p-ir-urinary-nephrostogram,,,None
p-ir-urinary-nephrostomy-tube-changes,,,None
p-ir-urinary-subrapubic-tube-changes,,,None
p-ir-urinary-prostate-fiducial-placement,,,CEFTRIAXONE -> AZTREONAM
p-ir-urinary-prostate-biopsies,,,CEFTRIAXONE -> AZTREONAM
p-ir-biliary-primary-percutaneous-drainage,,,PIPERACILLIN_TAZOBACTAM -> AZTREONAM AND METRONIDAZOLE
p-ir-biliary-primary-cholecystostomy-tube-placement,,,PIPERACILLIN_TAZOBACTAM -> AZTREONAM AND METRONIDAZOLE
p-ir-biliary-tube-change-intervention,,,PIPERACILLIN_TAZOBACTAM -> AZTREONAM AND METRONIDAZOLE
p-ir-biliary-procedures-tube-change,,,None
p-ir-cholecystostomy-tube-removal,,,None
p-ir-cholecystostomy-tube-change,,,None
p-ir-intra-abdominal-abscess-drainage,,,CEFTRIAXONE AND METRONIDAZOLE -> AZTREONAM AND METRONIDAZOLE
p-ir,,,PIPERACILLIN_TAZOBACTAM -> AZTREONAM AND METRONIDAZOLE
p-ir-abscess-drain,,,None
p-non-focal-liver-biopsies-on-transplant-patients,,,PIPERACILLIN_TAZOBACTAM -> AZTREONAM AND METRONIDAZOLE
p-ir-prostate-biopsy,,,CEFTRIAXONE -> GENTAMICIN AND METRONIDAZOLE
p-ir-prostate-fiducial-placement,,,CEFTRIAXONE -> GENTAMICIN AND METRONIDAZOLE
p-ir-vascular-access-clean,,,None
p-ir-pleurex-catheters,,,None
p-ir-tumor-ablation,,,None
p-hysterectomy,,,CEFAZOLIN AND METRONIDAZOLE -> CEFOXITIN AND METRONIDAZOLE -> (CLINDAMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND CIPROFLOXACIN) -> CLINDAMYCIN AND LEVOFLOXACIN
p-ortho-clean,,,None
p-spinal-procedures,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-hip-fracture-repair,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-implantation-of-internal-fixation-devices,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-total-joint-replacement,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-plastics,,,CEFAZOLIN OR AMPICILLIN_SULBACTAM -> VANCOMYCIN -> CLINDAMYCIN
p-thoractomy,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-lung-resection,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-pneumonectomy,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-lobectomy,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-thoracic-noncardiac,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-video-assisted-thoracoscopic-surgery,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-cystourethroscopy,,,None
p-cystourethroscopy,,,CEFTRIAXONE OR LEVOFLOXACIN -> GENTAMICIN
p-transrectal-prostate-biopsy,,,CEFTRIAXONE OR LEVOFLOXACIN -> METRONIDAZOLE AND GENTAMICIN
p-clean-with-entry-into-urinary-tract,,,(CEFAZOLIN AND GENTAMICIN) OR CEFAZOLIN
p-urology,,,VANCOMYCIN
p-urology,,,CLINDAMYCIN
p-urology,,,CEFAZOLIN OR (CEFAZOLIN AND GENTAMICIN) -> CIPROFLOXACIN OR (CLINDAMYCIN AND GENTAMICIN)
p-urology,,,CEFAZOLIN AND METRONIDAZOLE -> CIPROFLOXACIN OR (GENTAMICIN AND METRONIDAZOLE) OR (GENTAMICIN AND CLINDAMYCIN)
p-urology-implanted-prosthesis,,,(CEFAZOLIN AND GENTAMICIN) OR (CEFAZOLIN AND AZTREONAM) -> (VANCOMYCIN AND AZTREONAM) OR (VANCOMYCIN AND GENTAMICIN) OR (CLINDAMYCIN AND GENTAMICIN) -> CLINDAMYCIN AND AZTREONAM
p-vascular-procedure,,,CEFAZOLIN -> VANCOMYCIN -> CLINDAMYCIN
p-radical-prostatectomy,,,CEFAZOLIN -> CIPROFLOXACIN OR (GENTAMICIN AND CLINDAMYCIN)
p-hysteroscopy,,,None
p-arthroscopy-ankle,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-elbow,,,CEFAZOLIN -> VANCOMYCIN
p-arthoscopy-finger,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-foot,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-hip,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-knee,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-shoulder,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-temporomandibular-joint,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-wrist,,,CEFAZOLIN -> VANCOMYCIN
p-arthroscopy-subtalar-joint,,,CEFAZOLIN -> VANCOMYCIN
p-insertion-pacemaker,,,CEFAZOLIN -> VANCOMYCIN
p-implantation-defibrillator,,,CEFAZOLIN -> VANCOMYCIN
p-missed-abortion-first-trimester,,,DOXYCYCLINE -> AZITHROMYCIN OR METRONIDAZOLE
p-missed-abortion-second-trimester,,,DOXYCYCLINE -> AZITHROMYCIN OR METRONIDAZOLE
